,Air Power,Cadence,Form Power,Ground Time,Leg Spring Stiffness,Power,Vertical Oscillation
15350,1.0,80.0,104.0,318.0,12.875,335.0,6.5
15351,1.0,80.0,104.0,318.0,12.875,335.0,6.5
15352,0.0,80.0,103.0,318.0,13.0,331.0,6.375
15353,1.0,80.0,102.0,320.0,13.0,329.0,6.5
15354,1.0,80.0,102.0,322.0,13.0,329.0,6.5
15355,1.0,81.0,102.0,318.0,13.25,340.0,6.375
15356,1.0,81.0,102.0,318.0,13.25,338.0,6.375
15357,1.0,80.0,101.0,318.0,13.375,338.0,6.375
15358,1.0,81.0,101.0,318.0,13.5,337.0,6.375
15359,1.0,80.0,101.0,316.0,13.5,335.0,6.375
15360,1.0,81.0,101.0,316.0,13.5,337.0,6.375
15361,1.0,81.0,101.0,314.0,13.5,337.0,6.375
15362,1.0,81.0,101.0,312.0,13.5,339.0,6.25
15363,1.0,81.0,101.0,314.0,13.5,342.0,6.25
15364,1.0,81.0,101.0,312.0,13.5,343.0,6.25
15365,1.0,81.0,101.0,312.0,13.5,342.0,6.25
15366,1.0,81.0,101.0,314.0,13.5,341.0,6.25
15367,1.0,81.0,100.0,314.0,13.625,339.0,6.25
15368,1.0,81.0,100.0,314.0,13.5,337.0,6.25
15369,1.0,81.0,100.0,314.0,13.625,336.0,6.375
15370,1.0,81.0,100.0,316.0,13.625,336.0,6.25
15371,1.0,80.0,100.0,318.0,13.625,336.0,6.25
15372,1.0,80.0,100.0,318.0,13.5,336.0,6.25
15373,0.0,80.0,100.0,320.0,13.375,334.0,6.25
15374,1.0,80.0,100.0,320.0,13.25,337.0,6.125
15375,1.0,80.0,100.0,322.0,13.25,340.0,6.125
15376,1.0,80.0,100.0,324.0,13.125,340.0,6.125
15377,1.0,80.0,99.0,326.0,13.125,339.0,6.125
15378,1.0,80.0,99.0,326.0,13.125,348.0,6.0
15379,1.0,80.0,99.0,328.0,13.125,351.0,6.0
